# G4b CJK new-word whitelist (DELIVERY_DIRECTIVE section 6.3)
# Purpose: a new character in newly added content that is NOT present in the
# HEAD-wide .md corpus must be reviewed once and recorded here. After that,
# G4b becomes a fully mechanical assertion:
#     (new CJK set - corpus CJK set) - this whitelist == EMPTY
# Rationale: the original criterion "the difference set MUST be empty" is
# unsatisfiable for any newly authored document (measured 2026-09-21: a 51 KB
# new doc produced a 7-character difference set, all legitimate words).
# The whitelist keeps the human judgement, but freezes it so the check can be
# re-run mechanically. Register ONLY characters verified in context.
# Format: <char><TAB><first-seen file><TAB><reason / context snippet>
#
# char	first seen (2026-09-21)	reason
飞	docs/DELIVERY_DIRECTIVE.md	"在飞切片" (in-flight slices)
咨	docs/DELIVERY_DIRECTIVE.md	"纯咨询式问答" (consultative Q&A)
肉	docs/DELIVERY_DIRECTIVE.md	"人肉记忆" (manual memory)
忘	docs/DELIVERY_DIRECTIVE.md	"不假设任何角色不会忘事" (forget)
百	docs/DELIVERY_DIRECTIVE.md	"USD/百万 token" (per million tokens)
摸	docs/DELIVERY_DIRECTIVE.md	"我估摸用了几次" (guess/estimate)
纠	docs/DELIVERY_DIRECTIVE.md	"落盘后立即跑编码门禁并纠正" (correct)
诱	docs/DELIVERY_DIRECTIVE.md	"诱发静默回落" (induce)
横	docs/DELIVERY_DIRECTIVE.md	"已加历史版本横幅" (banner, heng)
幅	docs/DELIVERY_DIRECTIVE.md	"已加历史版本横幅" (banner, fu)
犯	docs/DELIVERY_DIRECTIVE.md	"不得重犯" (repeat an offence)
# 2026-09-21 (SW-3): the following two characters are PRE-EXISTING content in
# .github/agents/sol-orchestrator.agent.md, which had never been scanned by G4b
# because .gitignore previously ignored the whole .github/agents/ directory.
刀	.github/agents/sol-orchestrator.agent.md	"不直接以 Sol 计价操刀" (handle it personally)
月	.github/agents/sol-orchestrator.agent.md	"月度目标: $50" (monthly goal)
疾	docs/validation/sw3-role-set-versioning.md	"避免状态与范围不一致的旧疾复发" (old ailment)
鲁	docs/validation/sw3-role-set-versioning.md	"鲁棒性" (robustness)
棒	docs/validation/sw3-role-set-versioning.md	"鲁棒性" (robustness)
# 2026-09-21 (DR-3 recurrence registration): new character in a ledger row.
怀	docs/t027/REMAINING_SLICES.md	"与 DR-4 怀疑的共享根因一致" (suspect)
# 2026-09-22 (SW-5 / v1.9): new character in the C.0e acceptance-evidence row.
竖	docs/DELIVERY_DIRECTIVE.md	"行数 / 加粗 / 竖线 / 标题行号 / ID 计数全等" (vertical-bar count in the mirror-parity criterion)
# 2026-09-22 (SW-5 validation report + OB-12): new character in the report prose.
涵	docs/validation/sw5-work-tiers.md	"不涵盖“编制执行准则”本身" (does not cover)
# 2026-09-22 (OB-13): injection-class label reused in the CN row and mirrored in the EN row.
甲	docs/DELIVERY_DIRECTIVE.md	"变异性（甲-i 回归会被抓 / 甲-ii 修复本体被证伪）" (injection-class label)
# 2026-09-22 (GATES-EXT / OB-20): new characters in the OB-20 observation row.
挖	docs/DELIVERY_DIRECTIVE.md	"同类缺陷已被 ⑦ 在本片连续三轮挖出" (dug out over three rounds)
浅	docs/DELIVERY_DIRECTIVE.md	"浅克隆探测不结论" (shallow clone probe)
# 2026-09-22 (GATES-EXT report): new character in the report prose.
逼	docs/validation/gates-ext.md	"共同逼出的加固" (forced out by both reviews)
# 2026-09-22 (B4 / OB-21 + T018 open question): new character in the OB-21 row and the T018 note.
今	docs/DELIVERY_DIRECTIVE.md	"AT-23 的“真实 AI 候选”腿今日不可达" (today)
# 2026-09-22 (DR-FIX report): second evidence class of the mutation-criterion split; kept verbatim in the EN mirror.
乙	docs/validation/dr-fix-enforcement-proxy.md	"结构消除性证据（乙）" (structural-elimination evidence class)
# 2026-09-22 (GATES-EXT, batch 2b): two characters of the already-committed DR-FIX report
# (commit 1b01115) that the throwaway tmp/gate.js never scanned - it could not see
# untracked files. Both are legitimate words in context (re-checked line by line).
害	docs/validation/dr-fix-enforcement-proxy.md	"这两类读点会**同等受害**" (legitimate word 受害: equally affected by the same root cause)
牵	docs/validation/dr-fix-enforcement-proxy.md	"无牵连误报" (legitimate word 牵连: no collateral false positive)
扯	docs/DELIVERY_DIRECTIVE.md	"两者在时序上互相牵扯" (legitimate word 牵扯: the two pull against each other)
# 2026-09-22 (GATES-EXT batch 2c, finding F5): new character introduced by the G7-d
# wording fix ("added lines only, never the whole report").
篇	docs/DELIVERY_DIRECTIVE.md	"只判新增行、不判整篇报告" (legitimate word 整篇: the whole report)
# 2026-09-22 (GATES-EXT batch 2e, G6-3 prose narrowing): three characters introduced
# by the new sentence stating that a digit run followed by a word is a prose count.
汉	docs/DELIVERY_DIRECTIVE.md	"紧跟 ASCII 字母或汉字" (legitimate word 汉字: CJK ideograph)
裹	docs/DELIVERY_DIRECTIVE.md	"被反引号包裹" (legitimate word 包裹: wrapped in backticks)
尖	docs/DELIVERY_DIRECTIVE.md	"尖括号" (legitimate word 尖括号: angle bracket)
融	docs/DELIVERY_DIRECTIVE.md	"屏障消融对照" (legitimate word 消融: the guard-removal comparison in OB-17)
# 2026-09-22 (B4 ③ measured-field fill-in): the two characters below appear only in the newly added measured fields of the report pair.
庭	docs/validation/t027-at23-e2e.md	"Windows 11 家庭版" (the OS edition string returned by cmd /c ver)
捉	docs/validation/t027-at23-e2e.md	"捕捉排除路径 / 快照捕捉" (the capture-exclusion boundary leg of the F1 face)
# 2026-09-23 (B4 ⑤-remediation round): the character below is introduced by the §9.7 wording that
# states the measured gate order is CONTRARY to CONTRACTS §7 - the plain statement the ruling requires.
悖	docs/validation/t027-at23-e2e.md	"实测门禁次序与 §7 相悖" (legitimate word 相悖: contrary to the contract wording, stated without hedging)
